RepoID,Testing,Security,Research Support,Project Activity / Maintenance,Popularity / Engagement,Licensing & Compliance,Documentation,Dependency Analysis,Collaboration,Code Quality,AI Model Usage,GenAI Used,Agile Process
RID60,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID61,0,0,10,3,2,5,2,0,0,0,0,0,0
RID62,0,0,7,5,6,10,5,0,6.5,0,0,0,2
RID63,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID64,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID65,0,0,7,5,6,10,5,0,6.5,0,0,0,2
RID66,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID67,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID68,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID69,0,0,4,5,5,10,5,0,6.5,0,0,0,0
RID70,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID71,0,0,4,5,6,10,5,2,6.5,0,0,0,0
RID72,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID73,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID74,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID75,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID76,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID77,0,0,7,3,2,5,3,0,1,0,0,0,0
RID78,0,0,7,3,2,5,0,0,0,0,5,0,0
RID79,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID80,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID81,0,0,4,3,1,5,0,0,0,0,0,0,0
RID82,0,0,7,5,7,10,5,0,6.5,0,0,0,2
RID83,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID84,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID85,0,0,6,5,5,10,5,0,6.5,0,0,0,0
RID86,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID87,0,4,8,5,5,10,5,0,6.5,0,0,0,0
RID88,0,0,6,5,7,10,5,0,6.5,0,0,0,0
RID89,10,0,3,8,9,6,9,2,7,2,2,4,5
RID90,0,0,5,5,7,10,5,0,6.5,0,0,0,0
RID91,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID92,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID93,0,0,9,3,2,5,3,0,1,0,0,0,0
RID94,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID95,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID96,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID97,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID98,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID99,0,0,8,6,2,8,7,4,8,2,5,4,0
RID100,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID101,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID102,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID103,0,0,6,3,2,5,3,0,1,0,0,0,0
RID104,0,0,5,5,7,10,5,0,6.5,0,0,0,0
RID105,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID106,4,0,5,5,5,10,5,0,6.5,0,0,0,0
RID107,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID108,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID109,0,6,3,5,4,8,9,4,5.5,4,10,0,0
RID110,0,0,3,5,3,5,6,0,3.5,0,0,0,2
RID111,0,0,4,6,6,8,5,2,7.5,2,2,0,2
RID112,0,0,10,6,9,9,8,2,7.5,2,2,0,2
RID113,0,0,8,6,8,8,7,0,6.5,2,0,0,2
RID114,0,0,3,3,1,8,6,2,1,0,0,0,0
RID115,0,0,3,4,1,5,2,0,2.5,0,0,0,0
RID116,0,0,5,3,2,5,2,0,0,0,0,0,0
RID117,0,0,5,3,2,5,2,0,0,0,0,0,0
RID118,0,0,5,3,2,5,2,0,0,0,0,0,0
RID119,0,0,5,3,2,5,2,0,0,0,0,0,0
RID120,0,0,10,3,0,5,3,0,1,0,0,0,0
RID121,0,0,6,3,1,5,1,0,0,0,0,0,2
RID122,0,0,10,3,4,5,3,0,0,0,5,0,0
RID123,0,0,8,3,3,5,0,0,1,0,0,0,0
RID124,0,0,8,3,3,6,1,0,0,0,0,0,0
RID125,0,0,4,5,3,8,3,0,2.5,0,2,0,0
RID126,0,0,8,3,2,5,3,0,1,0,0,0,2
RID127,0,0,3,5,1,5,3,0,2,0,0,0,2
RID128,0,0,3,3,3,5,0,0,0,0,0,0,0
RID129,0,0,10,3,2,5,3,0,1,0,5,0,2
RID130,0,0,3,5,4,5,5,0,2.5,0,0,0,2
RID131,0,0,10,7,4,8,6,0,6.5,0,0,0,2
RID132,0,0,5,3,0,5,1,0,1,0,0,0,0
RID133,0,0,8,3,1,5,0,0,0,0,0,0,0
RID134,0,0,4,5,3,8,7,6,2.5,3,10,0,0
RID135,0,0,8,3,1,5,0,0,0,0,0,0,2
RID136,0,0,3,4,5,5,6,0,2.5,0,0,0,2
RID137,0,0,7,6,6,5,7,4,6.5,2,0,0,0
RID138,0,0,8,6,5,5,6,2,7.5,2,0,2,2
RID139,0,0,4,5,4,5,5,0,4.5,0,0,0,0
RID140,0,0,10,3,2,5,3,0,1,0,2,0,0
RID141,0,0,5,3,0,5,1,0,0,0,0,0,0
RID142,0,0,6,3,0,6,1,0,0,0,2,0,0
RID143,0,0,8,6,2,8,6,4,7.5,2,0,0,0
RID144,10,0,8,6,2,8,7,4,9,4,0,1,0
RID145,0,0,10,4,7,8,4,0,2,2,0,0,0
RID146,0,0,7,7,7,6,6,0,7,0,2,2,0
RID147,0,0,5,5,5,8,8,0,4.5,0,0,0,0
RID148,0,0,3,3,2,5,4,0,1.5,0,0,0,2
RID149,0,0,8,3,2,5,2,0,0,0,2,0,0
RID150,0,0,5,3,2,3,1,0,0,0,0,0,0
RID151,0,0,6,5,6,8,10,2,6.5,0,2,0,3
RID152,0,0,6,3,1,8,5,0,1.5,0,0,0,0
RID153,0,0,3,4,3,5,2,0,1.5,0,0,2,0
RID154,0,0,6,6,1,5,6,0,6.5,2,0,0,2
RID155,0,0,7,3,2,5,1,0,0,0,0,0,0
RID156,0,0,7,3,0,5,2,0,0,0,0,0,0
RID157,0,0,4,4,1,5,4,0,2,0,0,0,0
RID158,0,0,3,5,4,5,6,0,2,0,5,0,2
RID159,0,0,9,3,2,5,3,0,1,0,0,0,0
RID160,0,0,9,3,2,5,3,0,1,0,2,0,0
RID161,0,0,6,3,1,5,3,0,1,0,0,0,2
RID162,0,0,9,3,2,5,3,0,1,0,0,0,0
RID163,0,0,8,3,2,5,3,0,1,0,0,0,0
RID164,0,0,9,3,1,5,3,0,1,0,2,0,0
RID165,0,0,3,6,6,8,8,4,4.5,0,2,0,2
RID166,0,0,10,7,5,8,10,4,7.5,2,7,0,2
RID167,0,0,4,3,0,5,0,0,0,0,0,0,0
RID168,0,0,10,3,1,5,2,0,0,0,0,0,2
RID169,0,0,8,8,10,5,8,0,6,2,0,0,2
RID170,0,0,7,3,2,5,2,0,1,0,0,0,0
RID171,0,0,7,3,3,5,2,0,0,0,0,0,0
RID172,0,0,8,3,3,5,1,0,0,0,0,0,0
RID173,0,0,8,3,2,5,0,0,0,0,0,0,0
RID174,0,0,9,4,2,5,3,0,1,0,0,0,0
RID175,0,0,5,3,0,5,3,0,0,0,2,0,2
RID176,0,0,8,3,1,5,1,0,0,0,2,0,0
RID177,0,0,3,5,5,8,9,0,4.5,0,2,0,2
RID178,0,0,4,4,2,5,4,0,2.5,0,0,0,0
RID179,0,0,3,6,4,5,7,0,3.5,0,5,0,0
RID180,0,0,6,6,4,6,8,6,4,4,0,0,2
RID181,0,0,9,3,4,5,1,0,0,0,0,0,0
RID182,0,0,8,3,1,5,2,0,1,0,0,0,0
RID183,0,0,6,3,0,5,1,0,0,0,0,0,0
RID184,0,5,6,5,1,8,6,0,8,2,0,0,0
RID185,0,0,4,4,1,5,1,0,1,0,0,0,0
RID186,0,0,5,6,5,8,8,2,2.5,0,5,0,2
RID187,0,0,10,5,7,5,7,0,7.5,2,0,0,0
RID188,0,0,8,3,3,5,1,0,0,0,0,0,0
RID189,0,0,10,3,0,5,1,0,0,0,0,0,0
RID190,0,0,3,3,2,2,1,0,1,0,0,0,0
RID191,0,0,4,3,1,5,3,0,0,0,0,0,2
RID192,0,0,4,5,6,5,6,0,2.5,0,0,0,4
RID193,0,0,9,3,3,5,0,0,0,0,0,0,0
RID194,0,0,3,5,10,2,6,2,7.5,2,0,0,0
RID195,0,0,8,7,3,5,9,0,2.5,0,0,0,4
RID196,0,0,8,7,4,6,7,0,6.5,0,0,0,0
RID197,0,0,10,8,8,6,7,2,6.5,2,0,4,3
RID198,0,0,10,3,2,5,3,0,0,0,0,0,0
RID199,0,0,8,4,3,5,1,0,0,0,0,0,0
RID200,0,0,7,5,2,5,5,4,3.5,0,0,0,2
RID201,0,0,3,4,1,5,5,4,2.5,0,0,0,0
RID202,0,0,3,4,1,6,5,4,2.5,0,0,0,0
RID203,0,0,3,4,1,5,2,0,1.5,0,0,0,2
RID204,4,0,5,5,5,8,7,2,7.5,4,0,0,2
RID205,0,0,4,3,2,5,2,0,0,0,5,0,0
RID206,0,0,3,3,2,8,6,0,1.5,0,0,0,0
RID207,0,0,4,3,3,5,1,0,1,0,0,0,0
RID208,0,0,6,5,2,5,6,2,5.5,0,0,0,2
RID209,0,0,3,3,1,8,5,0,1.5,0,0,0,0
RID210,0,0,8,3,1,5,1,0,1,0,0,0,2
RID211,0,0,3,3,1,8,5,0,1.5,0,0,0,0
RID212,0,0,4,4,2,2,1,0,1.5,0,0,0,0
RID213,0,0,8,3,1,5,2,0,1,0,0,0,2
RID214,0,0,4,6,6,8,7,0,6.5,0,2,0,4
RID215,0,0,6,3,1,5,1,0,1,0,0,0,0
RID216,0,0,4,4,2,5,3,0,3.5,2,0,0,2
RID217,0,0,3,3,2,5,1,0,1.5,0,0,0,0
RID218,0,0,4,3,1,5,1,0,1,0,0,0,0
RID219,0,0,8,3,1,5,1,0,1,0,5,0,0
RID220,0,0,3,3,1,5,1,0,1,0,0,0,0
RID221,0,0,3,3,1,5,1,0,1,0,0,0,0
RID222,0,0,5,3,2,5,1,0,1,0,0,0,0
RID223,0,0,3,3,0,5,0,0,1,0,0,0,0
RID224,0,0,3,5,2,5,6,2,5.5,2,0,0,0
RID225,0,0,3,5,2,5,5,0,3.5,0,0,0,0
RID226,0,0,3,5,2,5,4,2,3.5,0,0,0,0
RID227,0,0,5,3,1,5,1,0,1,0,0,0,0
RID228,0,0,8,3,3,5,2,0,1,0,0,0,2
RID229,0,0,9,3,2,5,3,0,1,0,0,0,0
RID230,0,0,6,3,1,5,3,0,1,0,5,0,0
RID231,10,0,7,4,2,8,7,0,4.5,0,5,0,0
RID232,0,0,6,3,1,8,7,0,4.5,0,0,0,0
RID233,0,0,3,4,3,8,8,0,2.5,0,2,0,2
RID234,0,0,8,4,1,5,2,0,1,0,5,0,0
RID235,0,0,3,7,5,8,7,6,7.5,2,10,0,0
RID236,0,0,7,5,4,5,7,0,4.5,0,0,0,2
RID237,0,0,6,3,2,5,1,0,0,0,0,0,0
RID238,0,0,6,3,1,5,2,0,1,0,0,0,0
RID239,0,0,3,6,8,6,9,4,8.5,2,2,2,2
RID240,0,0,4,4,4,5,6,0,2.5,0,0,0,2
RID241,0,0,3,4,2,5,0,0,2.5,0,0,0,0
RID242,0,0,10,3,3,5,2,0,0,0,5,0,2
RID243,0,0,6,6,3,8,5,0,4.5,0,0,0,0
RID244,0,0,4,5,6,8,6,0,2.5,0,0,0,0
RID245,0,0,10,5,5,5,9,0,3.5,2,5,0,0
RID246,0,0,6,3,2,8,6,0,1.5,0,0,0,0
RID247,0,0,3,3,0,5,0,0,1,0,0,0,0
RID248,0,0,3,3,1,5,1,0,1.5,0,0,0,0
RID249,0,0,10,3,2,5,3,0,1,0,0,0,0
RID250,0,0,10,3,2,5,3,0,1,0,2,0,0
RID251,0,0,3,4,1,5,0,0,1.5,0,0,0,0
RID252,3,0,4,7,1,6,7,8,4.5,0,0,0,3
RID253,0,0,6,3,2,5,0,0,0,0,0,0,2
RID254,0,0,4,6,3,6,7,2,4,2,0,0,3
RID255,0,0,4,6,1,5,3,0,4.5,0,0,0,2
RID256,0,0,10,3,2,5,2,0,0,0,2,0,0
RID257,0,0,6,5,4,8,7,4,6.5,0,2,0,2
RID258,0,0,8,4,3,5,3,0,1.5,0,0,0,0
RID259,0,0,7,3,1,5,3,0,1,0,0,0,0
RID260,0,0,7,4,1,5,4,0,1.5,0,0,0,0
RID261,0,0,3,4,4,5,4,0,2.5,0,0,0,0
RID262,0,0,6,5,1,8,7,4,3,0,7,0,2
RID263,0,0,5,3,0,5,2,0,1,0,5,0,2
RID264,0,0,5,3,0,5,2,0,1,0,5,0,3
RID265,0,0,5,3,1,5,2,0,1,0,5,0,2
RID266,0,0,5,3,0,5,3,0,1,0,5,0,2
RID267,0,0,5,3,0,5,1,0,0,0,2,0,2
RID268,0,0,3,3,0,5,0,0,1,0,0,0,0
RID269,0,0,3,3,0,5,1,0,1,0,5,0,2
RID270,0,0,5,3,0,5,2,0,1,0,5,0,2
RID271,0,0,10,3,4,5,4,0,1,0,0,0,0
RID272,0,0,3,6,6,8,7,4,6.5,2,0,0,3
RID273,0,0,4,7,7,8,8,2,7.5,0,5,2,2
RID274,0,0,4,5,1,5,5,2,6.5,0,0,0,0
RID275,0,0,10,3,2,5,3,0,1,0,0,0,0
RID276,0,0,8,5,4,5,8,0,5.5,2,5,0,2
RID277,0,0,6,3,2,5,3,0,1,0,2,0,0
RID278,0,0,10,3,2,5,3,0,1,0,5,0,0
RID279,0,0,10,3,2,5,3,0,1,0,0,0,0
RID280,0,0,7,3,2,5,3,0,1,0,0,0,0
RID281,0,0,10,3,2,5,2,0,1,0,0,0,0
RID282,0,0,10,3,1,5,3,0,1,0,0,0,0
RID283,0,0,6,3,3,5,3,0,1,0,2,0,2
RID284,0,0,9,4,4,5,5,0,2.5,0,0,0,0
RID285,0,0,7,3,2,5,2,2,1,0,0,0,0
RID286,0,0,8,3,2,5,3,0,1,0,0,0,0
RID287,0,0,10,3,2,5,3,0,1,0,0,0,0
RID288,0,0,8,7,8,8,10,8,7.5,0,0,0,2
RID289,0,0,10,3,4,5,3,0,1,0,0,0,0
RID290,0,0,8,5,1,8,6,0,3.5,0,0,0,2
RID291,0,0,4,5,5,8,5,0,3,2,0,0,0
RID292,0,0,10,3,2,5,3,0,1,0,0,0,0
RID293,0,10,3,5,4,8,7,0,2,0,0,0,0
RID294,0,0,6,3,0,5,1,0,0,0,0,0,0
RID295,0,0,8,3,3,5,3,0,1,0,0,0,0
RID296,0,0,6,3,0,5,2,0,0,0,0,0,0
RID297,0,0,3,5,7,5,8,0,5.5,0,0,0,2
RID298,0,0,4,4,4,2,0,0,1.5,0,0,0,0
RID299,3,0,8,5,4,8,6,0,6,2,2,0,0
RID300,0,0,6,5,6,8,5,0,6.5,0,0,0,0
RID301,0,0,8,7,9,6,6,2,7.5,2,0,0,0
RID302,4,0,8,7,8,8,5,2,7.5,2,0,0,3
RID303,0,0,6,5,3,8,3,0,2,0,0,0,0
RID304,0,0,10,3,1,5,2,0,1,0,0,0,0
RID305,3,0,6,7,5,8,7,2,7.5,2,2,0,2
RID306,0,0,8,4,1,6,3,0,1,0,0,0,4
RID307,10,0,4,4,4,6,9,0,1.5,0,5,0,0
RID308,0,0,3,4,4,5,1,0,0,0,0,0,0
RID309,0,0,3,5,3,6,8,0,2.5,0,0,0,2
RID310,0,0,6,3,1,5,2,0,0,0,0,0,0
RID311,0,0,3,6,8,8,7,4,8.5,2,0,2,3
RID312,0,0,6,5,8,6,9,2,6.5,2,5,0,0
RID313,0,0,6,6,4,8,6,4,7.5,2,7,1,2
RID314,0,0,5,3,1,5,0,0,1,0,0,0,2
RID315,0,0,6,5,5,5,7,0,5,0,0,0,2
RID316,0,0,5,8,7,8,6,4,6.5,2,0,0,3
RID317,0,0,10,6,3,6,8,0,6.5,2,0,1,0
RID318,0,0,7,3,3,5,2,0,0,2,5,0,2
RID319,0,0,8,6,10,8,8,8,6,2,2,0,3
RID320,0,0,3,4,1,5,5,4,1,0,0,0,0
RID321,0,0,10,4,2,5,3,0,1,0,2,0,0
RID322,0,0,5,8,7,6,7,2,7,2,0,0,0
RID323,0,0,10,3,2,5,3,0,1,0,5,0,0
RID324,0,0,4,5,5,8,8,0,2.5,0,2,0,2
RID325,0,0,7,5,6,8,5,6,5.5,0,7,0,0
RID326,0,0,3,6,2,8,8,4,4,0,2,0,2
RID327,0,0,3,5,1,8,6,0,2,0,0,1,0
RID328,0,0,6,3,1,5,3,0,1,0,2,0,0
RID329,0,0,5,3,2,5,1,0,1,0,0,0,0
RID330,0,0,3,5,5,5,5,2,3.5,0,0,1,0
RID331,0,0,8,3,1,5,0,0,0,0,0,0,2
RID332,0,0,3,3,3,2,0,0,1,0,0,0,0
RID333,0,0,8,8,10,8,8,2,7.5,4,0,2,2
RID334,0,0,7,7,7,8,8,2,6,0,2,0,2
RID335,0,0,10,3,3,5,3,0,1,0,0,0,0
RID336,0,0,6,5,3,8,5,6,5.5,2,0,0,2
RID337,0,0,4,3,2,5,1,0,0,0,0,0,0
RID338,3,0,9,7,10,8,10,8,7.5,2,0,0,2
RID339,0,0,6,5,6,5,10,4,4.5,2,7,0,0
RID340,0,0,5,5,3,8,3,0,6.5,0,0,0,0
RID341,0,0,6,3,1,5,0,0,0,0,0,0,0
RID342,0,0,3,4,1,5,4,0,1.5,0,0,0,0
RID343,0,0,7,3,1,3,0,0,0,0,0,0,0
RID344,0,0,10,3,2,5,3,0,1,0,0,0,0
RID345,0,0,9,3,3,5,3,0,1,0,0,0,0
RID346,0,0,9,3,4,6,1,0,0,0,0,0,0
RID347,0,0,3,5,6,8,6,4,3.5,2,0,0,2
RID348,0,0,3,5,5,5,9,0,2.5,0,2,0,4
RID349,0,0,3,5,7,2,5,0,4.5,0,0,0,0
RID350,0,0,10,3,4,5,3,0,0,0,5,0,0
RID351,0,0,3,6,5,5,8,0,2.5,0,0,0,0
RID352,0,0,5,3,1,5,4,0,4,0,0,0,2
RID353,0,0,10,3,4,5,3,0,0,0,0,0,2
RID354,0,0,10,3,2,5,3,0,1,0,2,0,0
RID355,0,0,9,3,3,5,2,0,0,0,0,0,0
RID356,0,0,4,5,6,8,2,2,3.5,0,0,0,0
RID357,0,0,9,9,8,6,8,2,7,2,2,2,0
RID358,0,0,6,3,4,6,4,0,1,0,0,0,0
RID359,0,0,4,3,2,5,0,0,0,0,0,0,0
RID360,0,0,8,3,3,5,0,0,1,0,0,0,0
RID361,0,0,7,3,3,5,3,0,0,0,0,0,2
RID362,0,0,6,5,7,8,7,0,7.5,3,0,0,2
RID363,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID364,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID365,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID366,0,0,8,5,7,10,5,0,6.5,0,0,0,2
RID367,0,0,4,5,5,10,5,0,6.5,0,0,0,2
RID368,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID369,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID370,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID371,0,0,10,5,5,8,8,8,7.5,2,10,0,2
RID372,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID373,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID374,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID375,0,0,6,5,7,10,5,0,6.5,0,0,0,0
RID376,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID377,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID378,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID379,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID380,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID381,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID382,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID383,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID384,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID385,0,0,7,5,6,10,5,0,6.5,0,0,0,2
RID386,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID387,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID388,0,0,5,5,7,10,5,0,6.5,0,0,0,0
RID389,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID390,4,0,5,5,6,10,5,0,6.5,0,0,0,0
RID391,0,4,8,5,6,10,5,0,6.5,0,0,0,0
RID392,0,0,7,5,7,10,5,0,6.5,0,0,0,0
RID393,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID394,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID395,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID396,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID397,0,0,7,5,6,10,5,0,6.5,0,0,0,0
RID398,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID399,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID400,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID401,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID402,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID403,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID404,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID405,0,0,7,5,6,10,5,0,6.5,0,0,0,0
RID406,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID407,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID408,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID409,0,0,5,5,7,10,5,0,6.5,0,0,0,0
RID410,0,0,7,5,5,10,5,0,6.5,0,0,0,2
RID411,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID412,0,0,5,5,5,10,5,0,6.5,0,0,0,0
RID413,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID414,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID415,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID416,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID417,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID418,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID419,0,0,5,5,5,10,5,0,6.5,0,0,0,0
RID420,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID421,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID422,0,4,6,5,6,10,5,0,6.5,0,0,0,0
RID423,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID424,0,0,7,5,7,10,5,0,6.5,0,0,0,0
RID425,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID426,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID427,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID428,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID429,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID430,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID431,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID432,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID433,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID434,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID435,0,0,4,5,5,10,5,0,6.5,0,0,0,0
RID436,0,0,6,5,6,10,5,0,6.5,0,0,0,2
RID437,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID438,0,0,4,5,5,10,5,0,6.5,0,0,0,0
RID439,0,0,6,6,9,6,9,2,7,0,5,0,4
RID440,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID441,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID442,0,0,4,5,6,10,5,0,6.5,0,0,0,0
